gvkey,Name,sector_name,carbon_major,date,case,impact,country,region,Positive or negative,Column1,Column2
011506,Williams Companies,Energy,0,9/30/2021,Adorers of the Blood of Christ v. Transcontinental Gas Pipe Line Co.,3,US,North America,,,Williams Companies
012384,Royal Dutch Shell,Energy,1,6/8/2020,Advertising Standards Authority's Ruling on Shell UK Ltd.'s Shell Go+ Campaign,-3,UK,Europe,,,Royal Dutch Shell
064835,Ryanair,Industrials,0,2/5/2020,ASA Ruling on Ryanair Ltd t/a Ryanair Ltd,-3,Ireland,Europe,,,Ryanair
247732,De Longhi Spa,Consumer Discretionary,0,4/29/2008,Australian Competition & Consumer Commission v. De Longhi Australia Pty. Ltd. ,-3,Italy,Europe,,,De Longhi Spa
005073,General Motors Co,Consumer Discretionary,0,9/18/2008,"Australian Competition & Consumer Commission v. GM Holden Ltd (Federal Court of Australia, 2008)",-3,US,North America,,,General Motors Co
005234,Goodyear Tire & Rubber Co,Consumer Discretionary,0,6/25/2008,Australian Competition & Consumer Commission v. Goodyear Tyres (2008),-3,US,North America,,,Goodyear Tire & Rubber Co
015617,ING Group,Financials,0,4/19/2019,"BankTrack, et al. vs. ING Bank",-3,Netherlands,Europe,,,ING Group
009846,Edison International,Utilities,0,4/27/2021,Barnes v. Edison International,3,US,North America,,,Edison International
038676,Oatly,Consumer Staples,0,10/26/2021,Bentley v. Oatly Group AB,3,US,North America,,,Oatly
004029,Dominion Energy,Utilities,0,4/19/2011,"Burton v. Dominion Nuclear Connecticut, Inc.",3,US,North America,,,Dominion Energy
008272,Sempra Energy,Utilities,0,2/7/2017,"California ex rel. South Coast Air Quality Management District v. Southern California Gas Co., No. BC608322 (Cal. Super. Ct., filed Jan. 26, 2016)",-3,US,North America,,,Sempra Energy
011259,Walmart Inc,Consumer Staples,0,9/3/2014,California Health Communities Network v. City of Porterville No. F067685,-3,US,North America,,,Walmart Inc
005073,General Motors Co,Consumer Discretionary,0,6/24/2009,California v. GM Corp.,3,US,North America,,,General Motors Co
005073,General Motors Co,Consumer Discretionary,0,9/17/2007,California v. GM Corp.,3,US,North America,,,General Motors Co
008272,Sempra Energy,Utilities,0,8/8/2018,California v. Southern California Gas Co.,-3,US,North America,,,Sempra Energy
008272,Sempra Energy,Utilities,0,2/25/2019,California v. Southern California Gas Co.,3,US,North America,,,Sempra Energy
004503,ExxonMobil,Energy,1,2/22/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,ExxonMobil
012384,Royal Dutch Shell,Energy,1,2/22/2022,City & County of Honolulu v. Sunoco LP,-3,UK,Europe,,,Royal Dutch Shell
002991,Chevron,Energy,1,2/22/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,Chevron
002410,BP,Energy,1,2/22/2022,City & County of Honolulu v. Sunoco LP,-3,UK,Europe,,,BP
007017,Marathon Oil,Energy,0,2/22/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,Marathon Oil
008549,Conocophillips,Energy,1,2/22/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,Conocophillips
170841,Phillips 66,Energy,0,2/22/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,Phillips 66
165649,Energy Transfers,Energy,0,2/22/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,Energy Transfers
004503,ExxonMobil,Energy,1,3/29/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,ExxonMobil
012384,Royal Dutch Shell,Energy,1,3/29/2022,City & County of Honolulu v. Sunoco LP,-3,UK,Europe,,,Royal Dutch Shell
002991,Chevron,Energy,1,3/29/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,Chevron
002410,BP,Energy,1,3/29/2022,City & County of Honolulu v. Sunoco LP,-3,UK,Europe,,,BP
007017,Marathon Oil,Energy,0,3/29/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,Marathon Oil
008549,Conocophillips,Energy,1,3/29/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,Conocophillips
170841,Phillips 66,Energy,0,3/29/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,Phillips 66
165649,Energy Transfers,Energy,0,3/29/2022,City & County of Honolulu v. Sunoco LP,-3,US,North America,,,Energy Transfers
004503,ExxonMobil,Energy,1,5/6/2019,City of Birmingham Relief & Retirement System v. ExxonMobil Corp.,-3,US,North America,,,ExxonMobil
002410,BP,Energy,1,4/1/2021,City of New York v. BP p.l.c.,3,UK,Europe,,,BP
009846,Edison International,Utilities,0,3/17/2021,City of Torrance v. Southern California Edison Co.,-3,US,North America,,,Edison International
290445,Enea SA,Utilities,0,7/31/2019,ClientEarth v Enea,-3,Poland,Europe,,,Enea SA
293530,PGE SA,Utilities,0,9/22/2020,ClientEarth v. Polska Grupa Energetyczna,-3,Poland,Europe,,,PGE SA
002991,Chevron,Energy,1,5/14/2013,"Comer v. Murphy Oil USA, Inc.",3,US,North America,,,Chevron
004503,ExxonMobil,Energy,1,5/14/2013,"Comer v. Murphy Oil USA, Inc.",3,US,North America,,,ExxonMobil
001300,Honeywell International,Industrials,0,5/14/2013,"Comer v. Murphy Oil USA, Inc.",3,US,North America,,,Honeywell International
007620,Murphy Oil Corp,Energy,1,5/14/2013,"Comer v. Murphy Oil USA, Inc.",3,US,North America,,,Murphy Oil Corp
