gvkey,Name,sector_name,carbon_major,date,case,country,region,novel,courtlaw,govplaintiff,interest,damages,major_changes,novel_weight,courtlaw_weight,govplaintiff_weight,interest_weight,damages_weight,major_weight,profile_sum,,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,,name,country,region,gic_sector,Total # filings,,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,,,,,,,,,,,,,,,,,,,,,,
001440,American Electric Power,Utilities,0,7/21/2004,Connecticut v. Am. Elec. Power,US,North America,Yes,Yes,Yes,No,No,Yes,2,3,1,0,0,3,9,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,The AES Corporation,US,North America,55,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,We can do different things,,,,,,,,,,,#,Indicator of disclosure (separate contingent liability + risk section),Company,Date of Report,Date of Filing,Lawsuit anytime before DoR?,Lawsuit anytime before DoF?,Lawsuit in the three years before DoR ,Lawsuit in the three years before DoF 
005073,General Motors Co,Consumer Discretionary,0,9/20/2006,California v. GM Corp.,US,North America,Yes,Yes,Yes,No,Yes,Yes,2,3,1,0,3,3,12,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AIG,US ,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Filings,Was there a lawsuit anytime in the past; was there a lawsuit recently (<3 years); was there a pending lawsuit?,,,,,,,,,,,1,5,AIG,2003-12-31,2004-03-15,=,,,
100737,Volkswagen,Consumer Discretionary,0,5/7/2007,Germanwatch vs. Volkswagen,Germany,Europe,Yes,No,No,No,No,No,2,0,0,0,0,0,2,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Air France KLM SA,France,,,5,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,"Are the effects different depending on the type of lawsuit and the decision (e.g., cases that lead to negative decisions more likely to be disclosed)?",,,,,,,,,,,2,0,AIG,2004-12-31,2005-05-31,,,,
005073,General Motors Co,Consumer Discretionary,0,1/16/2008,"Australian Competition & Consumer Commission v. GM Holden Ltd (Federal Court of Australia, 2008)",US,North America,Yes,Yes,Yes,No,No,No,2,3,1,0,0,0,6,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"Allbirds, Inc",US,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Decision,Was there a decision in the year that followed,,,,,,,,,,,3,0,AIG,2004-12-31,2005-03-17,,,,
004093,Duke Energy,Utilities,0,2/12/2008,Sierra Club v. Duke Energy Indiana ,US,North America,No,No,No,No,No,No,0,0,0,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Alliant Energy,US,North America,55,0,Remove - no filing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4,8,AIG,2005-12-31,2006-03-16,,,,
002410,BP,Energy,1,2/26/2008,Native Village of Kivalina v. ExxonMobil Corp.,UK,Europe,Yes,Yes,Yes,No,Yes,Yes,2,3,1,0,3,3,12,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Alon USA,US,,,1,"Filing against Paramount Petroleum Corp, a sub of Alon USA bought in 2006, which itself was bought by Delek US in 2017; ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,5,0,AIG,2006-12-31,2007-03-01,FALSE,,,
002991,Chevron,Energy,1,2/26/2008,Native Village of Kivalina v. ExxonMobil Corp.,US,North America,Yes,Yes,Yes,No,Yes,Yes,2,3,1,0,3,3,12,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,American Electric Power,US,North America,55,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6,,AIG,2007-12-31,2008-02-28,FALSE,,,
004503,ExxonMobil,Energy,1,2/26/2008,Native Village of Kivalina v. ExxonMobil Corp.,US,North America,Yes,Yes,Yes,No,Yes,Yes,2,3,1,0,3,3,12,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Anadarko,US,North America,10,5,Note - acquired in 2019 by Occidental Petroleum ,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,7,,AIG,2008-12-31,2009-03-02,FALSE,,,
012384,Royal Dutch Shell,Energy,1,2/26/2008,Native Village of Kivalina v. ExxonMobil Corp.,UK,Europe,Yes,Yes,Yes,No,Yes,Yes,2,3,1,0,3,3,12,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Anglo America,UK,Europe,15,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,8,,AIG,2009-12-31,2010-02-26,FALSE,,,
142460,Peabody,Energy,1,2/26/2008,Native Village of Kivalina v. ExxonMobil Corp.,US,North America,Yes,Yes,Yes,No,Yes,Yes,2,3,1,0,3,3,12,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,APA Corp,US,North America,10,6,Replaced Apache Corporation in 2021,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,,,,,,,,,,,,,,,9,,AIG,2010-12-31,2011-02-24,,,,
001440,American Electric Power,Utilities,0,5/9/2008,Connecticut v. Am. Elec. Power,US,North America,No,Yes,No,No,No,Yes,0,3,0,0,0,3,6,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Arch Resources,US,North America,10,6,,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,10,,AIG,2011-12-31,2012-02-23,,,,
004029,Dominion Energy,Utilities,0,10/23/2008,"Burton v. Dominion Nuclear Connecticut, Inc.",US,North America,No,Yes,No,No,No,No,0,3,0,0,0,0,3,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Arkema,France,Europe,15,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,11,,AIG,2012-12-31,2013-02-21,,,,
010795,United Airlines Holdings Inc,Industrials,0,12/27/2010,Sao Paulo Public Prosecutor's Office v. United Airlines and Others,US,North America,Yes,Yes,Yes,No,Yes,No,2,3,1,0,3,0,9,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Ascent Resources,UK,Europe,10,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,12,,AIG,2013-12-31,2014-02-20,,,,
